0	0	-nan	-50.9993	-nan	inf	22.2927
0.01	0.046958	-50.998	-50.9993	0	0.00136054	22.2927
0.02	0.093915	-50.9986	-50.9993	0	0.000690498	22.2926
0.03	0.14087	-50.9988	-50.9993	0	0.000467254	22.2925
0.04	0.187822	-50.9989	-50.9993	0	0.00035571	22.2923
0.05	0.234771	-50.999	-50.9993	0	0.000288847	22.2921
0.06	0.281714	-50.999	-50.9993	0	0.000244325	22.2919
0.07	0.328652	-50.999	-50.9992	0	0.000212571	22.2915
0.08	0.375584	-50.999	-50.9992	0	0.000188796	22.2912
0.09	0.422508	-50.9991	-50.9992	0	0.000170342	22.2908
0.1	0.469423	-50.9991	-50.9992	0	0.000155613	22.2903
0.11	0.516328	-50.9991	-50.9992	0	0.000143594	22.2898
0.12	0.563224	-50.9991	-50.9992	0	0.000133607	22.2892
0.13	0.610107	-50.9991	-50.9992	0	0.000125184	22.2886
0.14	0.656979	-50.999	-50.9992	0	0.00011799	22.288
0.15	0.703837	-50.999	-50.9992	0	0.00011178	22.2872
0.16	0.750681	-50.999	-50.9991	0	0.00010637	22.2865
0.17	0.79751	-50.999	-50.9991	0	0.000101618	22.2857
0.18	0.844322	-50.999	-50.9991	0	9.74156e-05	22.2848
0.19	0.891118	-50.999	-50.9991	0	9.36762e-05	22.2839
0.2	0.937895	-50.999	-50.9991	0	9.03306e-05	22.283
0.21	0.984654	-50.999	-50.9991	0	8.73227e-05	22.282
0.22	1.03139	-50.999	-50.9991	0	8.46069e-05	22.2809
0.23	1.07811	-50.999	-50.999	0	8.21452e-05	22.2798
0.24	1.12481	-50.999	-50.999	0	7.99062e-05	22.2787
0.25	1.17148	-50.9989	-50.999	0	7.78634e-05	22.2775
0.26	1.21813	-50.9989	-50.999	0	7.59945e-05	22.2762
0.27	1.26475	-50.9989	-50.999	0	7.42802e-05	22.2749
0.28	1.31135	-50.9989	-50.999	0	7.27044e-05	22.2736
0.29	1.35792	-50.9989	-50.999	0	7.12529e-05	22.2722
0.3	1.40447	-50.9989	-50.9989	0	6.99135e-05	22.2708
0.31	1.45099	-50.9989	-50.9989	0	6.86756e-05	22.2693
0.32	1.49747	-50.9988	-50.9989	0	6.75298e-05	22.2677
0.33	1.54393	-50.9988	-50.9989	0	6.64681e-05	22.2662
0.34	1.59036	-50.9988	-50.9989	0	6.54833e-05	22.2645
0.35	1.63675	-50.9988	-50.9989	0	6.45688e-05	22.2628
0.36	1.68311	-50.9988	-50.9988	0	6.37192e-05	22.2611
0.37	1.72944	-50.9988	-50.9988	0	6.29293e-05	22.2593
0.38	1.77573	-50.9987	-50.9988	0	6.21946e-05	22.2575
0.39	1.82198	-50.9987	-50.9988	0	6.1511e-05	22.2556
0.4	1.8682	-50.9987	-50.9988	0	6.08751e-05	22.2537
0.41	1.91438	-50.9987	-50.9988	0	6.02833e-05	22.2517
0.42	1.96052	-50.9987	-50.9987	0	5.97329e-05	22.2497
0.43	2.00663	-50.9987	-50.9987	0	5.9221e-05	22.2476
0.44	2.05269	-50.9986	-50.9987	0	5.87453e-05	22.2455
0.45	2.09871	-50.9986	-50.9987	0	5.83036e-05	22.2433
0.46	2.14469	-50.9986	-50.9987	0	5.78937e-05	22.2411
0.47	2.19062	-50.9986	-50.9986	0	5.7514e-05	22.2388
0.48	2.23651	-50.9986	-50.9986	0	5.71625e-05	22.2365
0.49	2.28235	-50.9985	-50.9986	0	5.68379e-05	22.2341
