0	0	-nan	-50.9993	-nan	inf	22.2927
0.01	0.0834999	-50.998	-50.9993	0	0.00136054	22.2927
0.02	0.166994	-50.9986	-50.9993	0	0.000690498	22.2926
0.03	0.250475	-50.9988	-50.9993	0	0.000467254	22.2925
0.04	0.333939	-50.9989	-50.9993	0	0.00035571	22.2923
0.05	0.417378	-50.999	-50.9993	0	0.000288847	22.2921
0.06	0.500787	-50.999	-50.9993	0	0.000244325	22.2919
0.07	0.58416	-50.999	-50.9992	0	0.000212571	22.2915
0.08	0.66749	-50.999	-50.9992	0	0.000188796	22.2912
0.09	0.750772	-50.9991	-50.9992	0	0.000170342	22.2908
0.1	0.833999	-50.9991	-50.9992	0	0.000155613	22.2903
0.11	0.917166	-50.9991	-50.9992	0	0.000143594	22.2898
0.12	1.00027	-50.9991	-50.9992	0	0.000133607	22.2892
0.13	1.08329	-50.9991	-50.9992	0	0.000125184	22.2886
0.14	1.16624	-50.999	-50.9992	0	0.00011799	22.288
0.15	1.24911	-50.999	-50.9992	0	0.00011178	22.2872
0.16	1.33188	-50.999	-50.9991	0	0.00010637	22.2865
0.17	1.41456	-50.999	-50.9991	0	0.000101618	22.2857
0.18	1.49713	-50.999	-50.9991	0	9.74156e-05	22.2848
0.19	1.5796	-50.999	-50.9991	0	9.36762e-05	22.2839
0.2	1.66195	-50.999	-50.9991	0	9.03306e-05	22.283
0.21	1.74418	-50.999	-50.9991	0	8.73227e-05	22.282
0.22	1.82628	-50.999	-50.9991	0	8.46069e-05	22.2809
0.23	1.90825	-50.999	-50.999	0	8.21452e-05	22.2798
0.24	1.99009	-50.999	-50.999	0	7.99062e-05	22.2787
0.25	2.07177	-50.9989	-50.999	0	7.78634e-05	22.2775
0.26	2.15331	-50.9989	-50.999	0	7.59945e-05	22.2762
0.27	2.23469	-50.9989	-50.999	0	7.42802e-05	22.2749
0.28	2.31591	-50.9989	-50.999	0	7.27044e-05	22.2736
0.29	2.39696	-50.9989	-50.999	0	7.12529e-05	22.2722
0.3	2.47784	-50.9989	-50.9989	0	6.99135e-05	22.2708
0.31	2.55854	-50.9989	-50.9989	0	6.86756e-05	22.2693
0.32	2.63905	-50.9988	-50.9989	0	6.75298e-05	22.2677
0.33	2.71937	-50.9988	-50.9989	0	6.64681e-05	22.2662
0.34	2.79949	-50.9988	-50.9989	0	6.54833e-05	22.2645
0.35	2.87941	-50.9988	-50.9989	0	6.45688e-05	22.2628
0.36	2.95912	-50.9988	-50.9988	0	6.37192e-05	22.2611
0.37	3.03862	-50.9988	-50.9988	0	6.29293e-05	22.2593
0.38	3.11789	-50.9987	-50.9988	0	6.21946e-05	22.2575
0.39	3.19694	-50.9987	-50.9988	0	6.1511e-05	22.2556
0.4	3.27576	-50.9987	-50.9988	0	6.08751e-05	22.2537
0.41	3.35434	-50.9987	-50.9988	0	6.02833e-05	22.2517
0.42	3.43267	-50.9987	-50.9987	0	5.97329e-05	22.2497
0.43	3.51076	-50.9987	-50.9987	0	5.9221e-05	22.2476
0.44	3.58859	-50.9986	-50.9987	0	5.87453e-05	22.2455
0.45	3.66616	-50.9986	-50.9987	0	5.83036e-05	22.2433
0.46	3.74347	-50.9986	-50.9987	0	5.78937e-05	22.2411
0.47	3.8205	-50.9986	-50.9986	0	5.7514e-05	22.2388
0.48	3.89726	-50.9986	-50.9986	0	5.71625e-05	22.2365
0.49	3.97373	-50.9985	-50.9986	0	5.68379e-05	22.2341
0.5	4.04992	-50.9985	-50.9986	0	5.65387e-05	22.2317
0.51	4.12581	-50.9985	-50.9986	0	5.62636e-05	22.2293
0.52	4.2014	-50.9985	-50.9985	0	5.60114e-05	22.2267
0.53	4.27669	-50.9985	-50.9985	0	5.57809e-05	22.2242
0.54	4.35166	-50.9984	-50.9985	0	5.55711e-05	22.2216
0.55	4.42632	-50.9984	-50.9985	0	5.53811e-05	22.2189
0.56	4.50066	-50.9984	-50.9984	0	5.521e-05	22.2162
0.57	4.57467	-50.9984	-50.9984	0	5.5057e-05	22.2134
0.58	4.64835	-50.9983	-50.9984	0	5.49213e-05	22.2106
0.59	4.7217	-50.9983	-50.9984	0	5.48023e-05	22.2078
0.6	4.7947	-50.9983	-50.9983	0	5.46992e-05	22.2049
0.61	4.86735	-50.9983	-50.9983	0	5.46115e-05	22.2019
0.62	4.93965	-50.9982	-50.9983	0	5.45386e-05	22.1989
0.63	5.01159	-50.9982	-50.9983	0	5.44799e-05	22.1959
0.64	5.08316	-50.9982	-50.9982	0	5.4435e-05	22.1928
0.65	5.15437	-50.9982	-50.9982	0	5.44035e-05	22.1896
0.66	5.2252	-50.9981	-50.9982	0	5.43848e-05	22.1864
0.67	5.29566	-50.9981	-50.9982	0	5.43786e-05	22.1832
0.68	5.36573	-50.9981	-50.9981	0	5.43846e-05	22.1799
0.69	5.43541	-50.9981	-50.9981	0	5.44023e-05	22.1765
0.7	5.50469	-50.998	-50.9981	0	5.44314e-05	22.1731
0.71	5.57358	-50.998	-50.998	0	5.44717e-05	22.1697
0.72	5.64206	-50.998	-50.998	0	5.45228e-05	22.1662
0.73	5.71014	-50.9979	-50.998	0	5.45845e-05	22.1627
0.74	5.77779	-50.9979	-50.998	0	5.46565e-05	22.1591
0.75	5.84503	-50.9979	-50.9979	0	5.47386e-05	22.1554
0.76	5.91185	-50.9978	-50.9979	0	5.48306e-05	22.1518
0.77	5.97823	-50.9978	-50.9979	0	5.49323e-05	22.148
0.78	6.04418	-50.9978	-50.9978	0	5.50434e-05	22.1442
0.79	6.1097	-50.9977	-50.9978	0	5.51638e-05	22.1404
0.8	6.17477	-50.9977	-50.9978	0	5.52933e-05	22.1365
0.81	6.23939	-50.9977	-50.9977	0	5.54318e-05	22.1326
0.82	6.30355	-50.9976	-50.9977	0	5.55791e-05	22.1286
0.83	6.36727	-50.9976	-50.9977	0	5.57351e-05	22.1246
0.84	6.43051	-50.9976	-50.9976	0	5.58996e-05	22.1205
0.85	6.4933	-50.9975	-50.9976	0	5.60726e-05	22.1164
0.86	6.55561	-50.9975	-50.9976	0	5.62539e-05	22.1122
0.87	6.61744	-50.9975	-50.9975	0	5.64434e-05	22.108
0.88	6.6788	-50.9974	-50.9975	0	5.6641e-05	22.1037
0.89	6.73967	-50.9974	-50.9974	0	5.68467e-05	22.0994
0.9	6.80005	-50.9974	-50.9974	0	5.70603e-05	22.095
0.91	6.85993	-50.9973	-50.9974	0	5.72818e-05	22.0906
0.92	6.91932	-50.9973	-50.9973	0	5.75111e-05	22.0861
0.93	6.97821	-50.9972	-50.9973	0	5.77481e-05	22.0816
0.94	7.03659	-50.9972	-50.9973	0	5.79928e-05	22.0771
0.95	7.09446	-50.9972	-50.9972	0	5.82451e-05	22.0724
0.96	7.15182	-50.9971	-50.9972	0	5.8505e-05	22.0678
0.97	7.20865	-50.9971	-50.9971	0	5.87725e-05	22.0631
0.98	7.26497	-50.997	-50.9971	0	5.90474e-05	22.0583
0.99	7.32075	-50.997	-50.997	0	5.93298e-05	22.0535
1	7.37601	-50.9969	-50.997	0	5.96197e-05	22.0486
1.01	7.43073	-50.9969	-50.9969	0	5.99169e-05	22.0437
1.02	7.48491	-50.9968	-50.9969	0	6.02215e-05	22.0388
1.03	7.53854	-50.9968	-50.9969	0	6.05335e-05	22.0338
1.04	7.59163	-50.9967	-50.9968	0	6.08529e-05	22.0287
1.05	7.64417	-50.9967	-50.9968	0	6.11796e-05	22.0236
1.06	7.69615	-50.9966	-50.9967	0	6.15136e-05	22.0185
1.07	7.74758	-50.9966	-50.9967	0	6.18549e-05	22.0133
1.08	7.79844	-50.9965	-50.9966	0	6.22036e-05	22.008
1.09	7.84874	-50.9965	-50.9966	0	6.25596e-05	22.0027
1.1	7.89847	-50.9964	-50.9965	0	6.29229e-05	21.9974
1.11	7.94762	-50.9964	-50.9965	0	6.32936e-05	21.992
1.12	7.9962	-50.9963	-50.9964	0	6.36716e-05	21.9865
1.13	8.0442	-50.9963	-50.9963	0	6.40569e-05	21.9811
1.14	8.09161	-50.9962	-50.9963	0	6.44497e-05	21.9755
1.15	8.13844	-50.9962	-50.9962	0	6.48498e-05	21.9699
1.16	8.18467	-50.9961	-50.9962	0	6.52574e-05	21.9643
