0	0	-nan	-44.0186	-nan	inf	22.2927
0.01	0.00482671	-44.0159	-44.0186	0	0.00136054	22.2927
0.02	0.00965243	-44.0172	-44.0186	0	0.000690498	22.2926
0.03	0.0144762	-44.0177	-44.0186	0	0.000467254	22.2925
0.04	0.0192969	-44.0179	-44.0186	0	0.00035571	22.2923
0.05	0.0241136	-44.018	-44.0186	0	0.000288847	22.2921
0.06	0.0289254	-44.0181	-44.0186	0	0.000244325	22.2919
0.07	0.0337311	-44.0181	-44.0186	0	0.000212571	22.2915
0.08	0.0385299	-44.0182	-44.0186	0	0.000188796	22.2912
0.09	0.0433207	-44.0182	-44.0186	0	0.000170342	22.2908
0.1	0.0481026	-44.0182	-44.0186	0	0.000155613	22.2903
0.11	0.0528745	-44.0182	-44.0185	0	0.000143594	22.2898
0.12	0.0576355	-44.0183	-44.0185	0	0.000133607	22.2892
0.13	0.0623845	-44.0183	-44.0185	0	0.000125184	22.2886
0.14	0.0671207	-44.0183	-44.0185	0	0.00011799	22.288
0.15	0.0718429	-44.0183	-44.0185	0	0.00011178	22.2872
0.16	0.0765504	-44.0183	-44.0185	0	0.00010637	22.2865
0.17	0.0812419	-44.0183	-44.0185	0	0.000101618	22.2857
0.18	0.0859167	-44.0183	-44.0185	0	9.74156e-05	22.2848
0.19	0.0905737	-44.0183	-44.0185	0	9.36762e-05	22.2839
0.2	0.095212	-44.0183	-44.0184	0	9.03306e-05	22.283
0.21	0.0998306	-44.0183	-44.0184	0	8.73227e-05	22.282
0.22	0.104428	-44.0182	-44.0184	0	8.46069e-05	22.2809
0.23	0.109005	-44.0182	-44.0184	0	8.21452e-05	22.2798
0.24	0.113559	-44.0182	-44.0184	0	7.99062e-05	22.2787
0.25	0.118089	-44.0182	-44.0184	0	7.78634e-05	22.2775
0.26	0.122595	-44.0182	-44.0184	0	7.59945e-05	22.2762
0.27	0.127075	-44.0182	-44.0184	0	7.42802e-05	22.2749
0.28	0.13153	-44.0182	-44.0183	0	7.27044e-05	22.2736
0.29	0.135957	-44.0182	-44.0183	0	7.12529e-05	22.2722
0.3	0.140355	-44.0182	-44.0183	0	6.99135e-05	22.2708
0.31	0.144725	-44.0182	-44.0183	0	6.86756e-05	22.2693
0.32	0.149065	-44.0182	-44.0183	0	6.75298e-05	22.2677
0.33	0.153374	-44.0181	-44.0183	0	6.64681e-05	22.2662
0.34	0.157652	-44.0181	-44.0183	0	6.54833e-05	22.2645
0.35	0.161897	-44.0181	-44.0182	0	6.45688e-05	22.2628
0.36	0.166108	-44.0181	-44.0182	0	6.37192e-05	22.2611
0.37	0.170285	-44.0181	-44.0182	0	6.29293e-05	22.2593
0.38	0.174427	-44.0181	-44.0182	0	6.21946e-05	22.2575
0.39	0.178532	-44.0181	-44.0182	0	6.1511e-05	22.2556
0.4	0.182601	-44.018	-44.0182	0	6.08751e-05	22.2537
0.41	0.186632	-44.018	-44.0182	0	6.02833e-05	22.2517
0.42	0.190624	-44.018	-44.0181	0	5.97329e-05	22.2497
