0	0	-nan	-44.0186	-nan	0	22.2927
0.01	0.00406174	-44.0186	-44.0186	0	0	22.2927
0.02	0.0081232	-44.0186	-44.0186	0	0	22.2926
0.03	0.0121841	-44.0186	-44.0186	0	0	22.2925
0.04	0.0162441	-44.0186	-44.0186	0	0	22.2923
0.05	0.020303	-44.0186	-44.0186	0	0	22.2921
0.06	0.0243605	-44.0186	-44.0186	0	0	22.2919
0.07	0.0284162	-44.0186	-44.0186	0	0	22.2915
0.08	0.03247	-44.0186	-44.0186	0	0	22.2912
0.09	0.0365215	-44.0186	-44.0186	0	0	22.2908
0.1	0.0405704	-44.0186	-44.0186	0	0	22.2903
0.11	0.0446165	-44.0185	-44.0185	0	0	22.2898
0.12	0.0486595	-44.0185	-44.0185	0	0	22.2892
0.13	0.052699	-44.0185	-44.0185	0	0	22.2886
0.14	0.0567348	-44.0185	-44.0185	0	0	22.288
0.15	0.0607667	-44.0185	-44.0185	0	0	22.2872
0.16	0.0647943	-44.0185	-44.0185	0	0	22.2865
0.17	0.0688173	-44.0185	-44.0185	0	0	22.2857
0.18	0.0728356	-44.0185	-44.0185	0	0	22.2848
0.19	0.0768487	-44.0185	-44.0185	0	0	22.2839
0.2	0.0808564	-44.0184	-44.0184	0	0	22.283
0.21	0.0848584	-44.0184	-44.0184	0	0	22.282
0.22	0.0888545	-44.0184	-44.0184	0	0	22.2809
0.23	0.0928444	-44.0184	-44.0184	0	0	22.2798
0.24	0.0968277	-44.0184	-44.0184	0	0	22.2787
0.25	0.100804	-44.0184	-44.0184	0	0	22.2775
0.26	0.104774	-44.0184	-44.0184	0	0	22.2762
0.27	0.108736	-44.0184	-44.0184	0	0	22.2749
0.28	0.11269	-44.0183	-44.0183	0	0	22.2736
0.29	0.116637	-44.0183	-44.0183	0	0	22.2722
0.3	0.120575	-44.0183	-44.0183	0	0	22.2708
0.31	0.124505	-44.0183	-44.0183	0	0	22.2693
0.32	0.128427	-44.0183	-44.0183	0	0	22.2677
0.33	0.132339	-44.0183	-44.0183	0	0	22.2662
0.34	0.136242	-44.0183	-44.0183	0	0	22.2645
0.35	0.140135	-44.0182	-44.0182	0	0	22.2628
0.36	0.144019	-44.0182	-44.0182	0	0	22.2611
0.37	0.147892	-44.0182	-44.0182	0	0	22.2593
0.38	0.151755	-44.0182	-44.0182	0	0	22.2575
0.39	0.155608	-44.0182	-44.0182	0	0	22.2556
0.4	0.159449	-44.0182	-44.0182	0	0	22.2537
0.41	0.163279	-44.0182	-44.0182	0	0	22.2517
0.42	0.167098	-44.0181	-44.0181	0	0	22.2497
0.43	0.170905	-44.0181	-44.0181	0	0	22.2476
0.44	0.1747	-44.0181	-44.0181	0	0	22.2455
0.45	0.178483	-44.0181	-44.0181	0	0	22.2433
0.46	0.182254	-44.0181	-44.0181	0	0	22.2411
0.47	0.186011	-44.0181	-44.0181	0	0	22.2388
0.48	0.189756	-44.018	-44.018	0	0	22.2365
0.49	0.193487	-44.018	-44.018	0	0	22.2341
0.5	0.197205	-44.018	-44.018	0	0	22.2317
0.51	0.200908	-44.018	-44.018	0	0	22.2293
0.52	0.204598	-44.018	-44.018	0	0	22.2267
0.53	0.208274	-44.0179	-44.0179	0	0	22.2242
0.54	0.211934	-44.0179	-44.0179	0	0	22.2216
0.55	0.21558	-44.0179	-44.0179	0	0	22.2189
0.56	0.219211	-44.0179	-44.0179	0	0	22.2162
0.57	0.222826	-44.0179	-44.0179	0	0	22.2134
0.58	0.226426	-44.0178	-44.0178	0	0	22.2106
0.59	0.23001	-44.0178	-44.0178	0	0	22.2078
0.6	0.233578	-44.0178	-44.0178	0	0	22.2049
0.61	0.237129	-44.0178	-44.0178	0	0	22.2019
0.62	0.240664	-44.0178	-44.0178	0	0	22.1989
0.63	0.244182	-44.0177	-44.0177	0	0	22.1959
0.64	0.247682	-44.0177	-44.0177	0	0	22.1928
0.65	0.251166	-44.0177	-44.0177	0	0	22.1896
