0	0	-nan	-44.0186	-nan	0	22.2927
0.01	0.00229164	-44.0186	-44.0186	0	0	22.2927
0.02	0.00458324	-44.0186	-44.0186	0	0	22.2926
0.03	0.00687474	-44.0186	-44.0186	0	0	22.2925
0.04	0.00916612	-44.0186	-44.0186	0	0	22.2923
0.05	0.0114573	-44.0186	-44.0186	0	0	22.2921
0.06	0.0137483	-44.0186	-44.0186	0	0	22.2919
0.07	0.016039	-44.0186	-44.0186	0	0	22.2915
0.08	0.0183294	-44.0186	-44.0186	0	0	22.2912
0.09	0.0206194	-44.0186	-44.0186	0	0	22.2908
0.1	0.022909	-44.0186	-44.0186	0	0	22.2903
0.11	0.0251982	-44.0185	-44.0185	0	0	22.2898
0.12	0.0274869	-44.0185	-44.0185	0	0	22.2892
0.13	0.029775	-44.0185	-44.0185	0	0	22.2886
0.14	0.0320625	-44.0185	-44.0185	0	0	22.288
0.15	0.0343495	-44.0185	-44.0185	0	0	22.2872
0.16	0.0366357	-44.0185	-44.0185	0	0	22.2865
0.17	0.0389213	-44.0185	-44.0185	0	0	22.2857
0.18	0.041206	-44.0185	-44.0185	0	0	22.2848
0.19	0.04349	-44.0185	-44.0185	0	0	22.2839
0.2	0.0457731	-44.0184	-44.0184	0	0	22.283
0.21	0.0480553	-44.0184	-44.0184	0	0	22.282
0.22	0.0503366	-44.0184	-44.0184	0	0	22.2809
0.23	0.0526169	-44.0184	-44.0184	0	0	22.2798
0.24	0.0548962	-44.0184	-44.0184	0	0	22.2787
0.25	0.0571743	-44.0184	-44.0184	0	0	22.2775
0.26	0.0594514	-44.0184	-44.0184	0	0	22.2762
0.27	0.0617273	-44.0184	-44.0184	0	0	22.2749
0.28	0.064002	-44.0183	-44.0183	0	0	22.2736
0.29	0.0662754	-44.0183	-44.0183	0	0	22.2722
0.3	0.0685476	-44.0183	-44.0183	0	0	22.2708
0.31	0.0708184	-44.0183	-44.0183	0	0	22.2693
0.32	0.0730878	-44.0183	-44.0183	0	0	22.2677
0.33	0.0753557	-44.0183	-44.0183	0	0	22.2662
0.34	0.0776222	-44.0183	-44.0183	0	0	22.2645
0.35	0.0798872	-44.0182	-44.0182	0	0	22.2628
0.36	0.0821506	-44.0182	-44.0182	0	0	22.2611
0.37	0.0844124	-44.0182	-44.0182	0	0	22.2593
0.38	0.0866726	-44.0182	-44.0182	0	0	22.2575
0.39	0.088931	-44.0182	-44.0182	0	0	22.2556
0.4	0.0911877	-44.0182	-44.0182	0	0	22.2537
0.41	0.0934426	-44.0182	-44.0182	0	0	22.2517
0.42	0.0956957	-44.0181	-44.0181	0	0	22.2497
0.43	0.0979469	-44.0181	-44.0181	0	0	22.2476
0.44	0.100196	-44.0181	-44.0181	0	0	22.2455
0.45	0.102444	-44.0181	-44.0181	0	0	22.2433
0.46	0.104689	-44.0181	-44.0181	0	0	22.2411
0.47	0.106932	-44.0181	-44.0181	0	0	22.2388
0.48	0.109173	-44.018	-44.018	0	0	22.2365
0.49	0.111412	-44.018	-44.018	0	0	22.2341
0.5	0.113649	-44.018	-44.018	0	0	22.2317
0.51	0.115884	-44.018	-44.018	0	0	22.2293
0.52	0.118116	-44.018	-44.018	0	0	22.2267
0.53	0.120346	-44.0179	-44.0179	0	0	22.2242
0.54	0.122574	-44.0179	-44.0179	0	0	22.2216
0.55	0.124799	-44.0179	-44.0179	0	0	22.2189
0.56	0.127022	-44.0179	-44.0179	0	0	22.2162
0.57	0.129242	-44.0179	-44.0179	0	0	22.2134
0.58	0.13146	-44.0178	-44.0178	0	0	22.2106
0.59	0.133676	-44.0178	-44.0178	0	0	22.2078
0.6	0.135888	-44.0178	-44.0178	0	0	22.2049
0.61	0.138098	-44.0178	-44.0178	0	0	22.2019
0.62	0.140305	-44.0178	-44.0178	0	0	22.1989
0.63	0.14251	-44.0177	-44.0177	0	0	22.1959
0.64	0.144712	-44.0177	-44.0177	0	0	22.1928
0.65	0.14691	-44.0177	-44.0177	0	0	22.1896
0.66	0.149106	-44.0177	-44.0177	0	0	22.1864
0.67	0.1513	-44.0176	-44.0176	0	0	22.1832
0.68	0.15349	-44.0176	-44.0176	0	0	22.1799
0.69	0.155677	-44.0176	-44.0176	0	0	22.1765
0.7	0.157861	-44.0176	-44.0176	0	0	22.1731
0.71	0.160042	-44.0175	-44.0175	0	0	22.1697
0.72	0.16222	-44.0175	-44.0175	0	0	22.1662
0.73	0.164394	-44.0175	-44.0175	0	0	22.1627
0.74	0.166566	-44.0175	-44.0175	0	0	22.1591
0.75	0.168734	-44.0174	-44.0174	0	0	22.1554
0.76	0.170899	-44.0174	-44.0174	0	0	22.1518
0.77	0.17306	-44.0174	-44.0174	0	0	22.148
0.78	0.175218	-44.0174	-44.0174	0	0	22.1442
0.79	0.177373	-44.0173	-44.0173	0	0	22.1404
0.8	0.179524	-44.0173	-44.0173	0	0	22.1365
0.81	0.181672	-44.0173	-44.0173	0	0	22.1326
0.82	0.183816	-44.0172	-44.0172	0	0	22.1286
0.83	0.185957	-44.0172	-44.0172	0	0	22.1246
0.84	0.188094	-44.0172	-44.0172	0	0	22.1205
0.85	0.190227	-44.0172	-44.0172	0	0	22.1164
0.86	0.192356	-44.0171	-44.0171	0	0	22.1122
0.87	0.194482	-44.0171	-44.0171	0	0	22.108
0.88	0.196604	-44.0171	-44.0171	0	0	22.1037
0.89	0.198722	-44.017	-44.017	0	0	22.0994
0.9	0.200836	-44.017	-44.017	0	0	22.095
0.91	0.202947	-44.017	-44.017	0	0	22.0906
0.92	0.205053	-44.0169	-44.0169	0	0	22.0861
0.93	0.207155	-44.0169	-44.0169	0	0	22.0816
0.94	0.209253	-44.0169	-44.0169	0	0	22.0771
0.95	0.211347	-44.0168	-44.0168	0	0	22.0724
0.96	0.213437	-44.0168	-44.0168	0	0	22.0678
0.97	0.215523	-44.0167	-44.0167	0	0	22.0631
0.98	0.217605	-44.0167	-44.0167	0	0	22.0583
0.99	0.219682	-44.0167	-44.0167	0	0	22.0535
1	0.221755	-44.0166	-44.0166	0	0	22.0486
1.01	0.223824	-44.0166	-44.0166	0	0	22.0437
1.02	0.225888	-44.0166	-44.0166	0	0	22.0388
1.03	0.227948	-44.0165	-44.0165	0	0	22.0338
1.04	0.230003	-44.0165	-44.0165	0	0	22.0287
1.05	0.232054	-44.0164	-44.0164	0	0	22.0236
1.06	0.2341	-44.0164	-44.0164	0	0	22.0185
1.07	0.236142	-44.0163	-44.0163	0	0	22.0133
1.08	0.238179	-44.0163	-44.0163	0	0	22.008
1.09	0.240212	-44.0163	-44.0163	0	0	22.0027
1.1	0.242239	-44.0162	-44.0162	0	0	21.9974
1.11	0.244262	-44.0162	-44.0162	0	0	21.992
1.12	0.24628	-44.0161	-44.0161	0	0	21.9865
