0	0	-nan	-44.0186	-nan	0	22.2927
0.01	0.00348528	-21.7259	-44.0186	0	0	22.2927
0.02	0.0069704	-21.726	-44.0186	0	0	22.2926
0.03	0.0104552	-21.7261	-44.0186	0	0	22.2925
0.04	0.0139395	-21.7263	-44.0186	0	0	22.2923
0.05	0.0174232	-21.7265	-44.0186	0	0	22.2921
0.06	0.020906	-21.7267	-44.0186	0	0	22.2919
0.07	0.0243879	-21.727	-44.0186	0	0	22.2915
0.08	0.0278687	-21.7274	-44.0186	0	0	22.2912
0.09	0.0313482	-21.7278	-44.0186	0	0	22.2908
0.1	0.0348262	-21.7283	-44.0186	0	0	22.2903
0.11	0.0383026	-21.7288	-44.0185	0	0	22.2898
0.12	0.0417773	-21.7293	-44.0185	0	0	22.2892
0.13	0.04525	-21.7299	-44.0185	0	0	22.2886
0.14	0.0487206	-21.7306	-44.0185	0	0	22.288
0.15	0.052189	-21.7313	-44.0185	0	0	22.2872
0.16	0.0556549	-21.732	-44.0185	0	0	22.2865
0.17	0.0591183	-21.7328	-44.0185	0	0	22.2857
0.18	0.0625789	-21.7336	-44.0185	0	0	22.2848
0.19	0.0660366	-21.7345	-44.0185	0	0	22.2839
0.2	0.0694913	-21.7355	-44.0184	0	0	22.283
0.21	0.0729428	-21.7365	-44.0184	0	0	22.282
0.22	0.0763908	-21.7375	-44.0184	0	0	22.2809
0.23	0.0798354	-21.7386	-44.0184	0	0	22.2798
0.24	0.0832762	-21.7397	-44.0184	0	0	22.2787
0.25	0.0867132	-21.7409	-44.0184	0	0	22.2775
0.26	0.0901461	-21.7421	-44.0184	0	0	22.2762
0.27	0.0935749	-21.7434	-44.0184	0	0	22.2749
0.28	0.0969994	-21.7447	-44.0183	0	0	22.2736
0.29	0.100419	-21.7461	-44.0183	0	0	22.2722
0.3	0.103835	-21.7475	-44.0183	0	0	22.2708
0.31	0.107245	-21.749	-44.0183	0	0	22.2693
0.32	0.110651	-21.7505	-44.0183	0	0	22.2677
0.33	0.114051	-21.7521	-44.0183	0	0	22.2662
