0	0	-29.4528	-nan	-44.0186	-nan	inf	22.2927
0.01	0.00406313	-29.4528	-44.0173	-44.0186	0	0.00136054	22.2927
0.02	0.00812598	-29.4528	-44.0179	-44.0186	0	0.000690498	22.2926
0.03	0.0121883	-29.4528	-44.0182	-44.0186	0	0.000467254	22.2925
0.04	0.0162497	-29.4528	-44.0183	-44.0186	0	0.00035571	22.2923
0.05	0.02031	-29.4528	-44.0183	-44.0186	0	0.000288847	22.2921
0.06	0.0243688	-29.4528	-44.0183	-44.0186	0	0.000244325	22.2919
0.07	0.028426	-29.4528	-44.0184	-44.0186	0	0.000212571	22.2915
0.08	0.0324811	-29.4528	-44.0184	-44.0186	0	0.000188796	22.2912
0.09	0.036534	-29.4528	-44.0184	-44.0186	0	0.000170342	22.2908
0.1	0.0405843	-29.4528	-44.0184	-44.0186	0	0.000155613	22.2903
0.11	0.0446317	-29.4528	-44.0184	-44.0185	0	0.000143594	22.2898
0.12	0.0486761	-29.4528	-44.0184	-44.0185	0	0.000133607	22.2892
0.13	0.052717	-29.4528	-44.0184	-44.0185	0	0.000125184	22.2886
0.14	0.0567542	-29.4528	-44.0184	-44.0185	0	0.00011799	22.288
0.15	0.0607874	-29.4528	-44.0184	-44.0185	0	0.00011178	22.2872
0.16	0.0648163	-29.4528	-44.0184	-44.0185	0	0.00010637	22.2865
0.17	0.0688407	-29.4528	-44.0184	-44.0185	0	0.000101618	22.2857
0.18	0.0728603	-29.4528	-44.0184	-44.0185	0	9.74156e-05	22.2848
0.19	0.0768748	-29.4528	-44.0184	-44.0185	0	9.36762e-05	22.2839
0.2	0.0808838	-29.4528	-44.0184	-44.0184	0	9.03306e-05	22.283
0.21	0.0848872	-29.4528	-44.0183	-44.0184	0	8.73227e-05	22.282
0.22	0.0888846	-29.4528	-44.0183	-44.0184	0	8.46069e-05	22.2809
0.23	0.0928758	-29.4528	-44.0183	-44.0184	0	8.21452e-05	22.2798
0.24	0.0968605	-29.4528	-44.0183	-44.0184	0	7.99062e-05	22.2787
0.25	0.100838	-29.4528	-44.0183	-44.0184	0	7.78634e-05	22.2775
0.26	0.104809	-29.4528	-44.0183	-44.0184	0	7.59945e-05	22.2762
0.27	0.108773	-29.4528	-44.0183	-44.0184	0	7.42802e-05	22.2749
0.28	0.112728	-29.4528	-44.0183	-44.0183	0	7.27044e-05	22.2736
0.29	0.116676	-29.4528	-44.0183	-44.0183	0	7.12529e-05	22.2722
0.3	0.120616	-29.4528	-44.0182	-44.0183	0	6.99135e-05	22.2708
0.31	0.124547	-29.4528	-44.0182	-44.0183	0	6.86756e-05	22.2693
0.32	0.12847	-29.4528	-44.0182	-44.0183	0	6.75298e-05	22.2677
0.33	0.132383	-29.4528	-44.0182	-44.0183	0	6.64681e-05	22.2662
0.34	0.136287	-29.4528	-44.0182	-44.0183	0	6.54833e-05	22.2645
0.35	0.140182	-29.4528	-44.0182	-44.0182	0	6.45688e-05	22.2628
0.36	0.144067	-29.4528	-44.0182	-44.0182	0	6.37192e-05	22.2611
0.37	0.147941	-29.4528	-44.0182	-44.0182	0	6.29293e-05	22.2593
0.38	0.151806	-29.4528	-44.0181	-44.0182	0	6.21946e-05	22.2575
0.39	0.155659	-29.4528	-44.0181	-44.0182	0	6.1511e-05	22.2556
0.4	0.159502	-29.4528	-44.0181	-44.0182	0	6.08751e-05	22.2537
0.41	0.163333	-29.4528	-44.0181	-44.0182	0	6.02833e-05	22.2517
0.42	0.167153	-29.4528	-44.0181	-44.0181	0	5.97329e-05	22.2497
0.43	0.170962	-29.4528	-44.0181	-44.0181	0	5.9221e-05	22.2476
0.44	0.174758	-29.4528	-44.018	-44.0181	0	5.87453e-05	22.2455
0.45	0.178542	-29.4528	-44.018	-44.0181	0	5.83036e-05	22.2433
0.46	0.182314	-29.4528	-44.018	-44.0181	0	5.78937e-05	22.2411
0.47	0.186072	-29.4528	-44.018	-44.0181	0	5.7514e-05	22.2388
0.48	0.189818	-29.4528	-44.018	-44.018	0	5.71625e-05	22.2365
0.49	0.19355	-29.4528	-44.018	-44.018	0	5.68379e-05	22.2341
0.5	0.197269	-29.4528	-44.0179	-44.018	0	5.65387e-05	22.2317
0.51	0.200974	-29.4528	-44.0179	-44.018	0	5.62636e-05	22.2293
0.52	0.204665	-29.4528	-44.0179	-44.018	0	5.60114e-05	22.2267
0.53	0.208341	-29.4528	-44.0179	-44.0179	0	5.57809e-05	22.2242
0.54	0.212003	-29.4528	-44.0179	-44.0179	0	5.55711e-05	22.2216
0.55	0.21565	-29.4528	-44.0178	-44.0179	0	5.53811e-05	22.2189
0.56	0.219281	-29.4528	-44.0178	-44.0179	0	5.521e-05	22.2162
0.57	0.222898	-29.4528	-44.0178	-44.0179	0	5.5057e-05	22.2134
0.58	0.226499	-29.4528	-44.0178	-44.0178	0	5.49213e-05	22.2106
0.59	0.230083	-29.4528	-44.0178	-44.0178	0	5.48023e-05	22.2078
0.6	0.233652	-29.4528	-44.0177	-44.0178	0	5.46992e-05	22.2049
0.61	0.237204	-29.4528	-44.0177	-44.0178	0	5.46115e-05	22.2019
0.62	0.24074	-29.4528	-44.0177	-44.0178	0	5.45386e-05	22.1989
0.63	0.244259	-29.4528	-44.0177	-44.0177	0	5.44799e-05	22.1959
0.64	0.24776	-29.4528	-44.0177	-44.0177	0	5.4435e-05	22.1928
0.65	0.251244	-29.4528	-44.0176	-44.0177	0	5.44035e-05	22.1896
0.66	0.254711	-29.4528	-44.0176	-44.0177	0	5.43848e-05	22.1864
0.67	0.25816	-29.4528	-44.0176	-44.0176	0	5.43786e-05	22.1832
0.68	0.26159	-29.4528	-44.0176	-44.0176	0	5.43846e-05	22.1799
0.69	0.265002	-29.4528	-44.0175	-44.0176	0	5.44023e-05	22.1765
0.7	0.268396	-29.4528	-44.0175	-44.0176	0	5.44314e-05	22.1731
0.71	0.271771	-29.4528	-44.0175	-44.0175	0	5.44717e-05	22.1697
0.72	0.275126	-29.4528	-44.0175	-44.0175	0	5.45228e-05	22.1662
0.73	0.278463	-29.4528	-44.0174	-44.0175	0	5.45845e-05	22.1627
0.74	0.28178	-29.4528	-44.0174	-44.0175	0	5.46565e-05	22.1591
0.75	0.285077	-29.4528	-44.0174	-44.0174	0	5.47386e-05	22.1554
0.76	0.288354	-29.4528	-44.0174	-44.0174	0	5.48306e-05	22.1518
0.77	0.291611	-29.4528	-44.0173	-44.0174	0	5.49323e-05	22.148
0.78	0.294847	-29.4528	-44.0173	-44.0174	0	5.50434e-05	22.1442
0.79	0.298062	-29.4528	-44.0173	-44.0173	0	5.51638e-05	22.1404
0.8	0.301257	-29.4528	-44.0172	-44.0173	0	5.52933e-05	22.1365
0.81	0.304431	-29.4528	-44.0172	-44.0173	0	5.54318e-05	22.1326
0.82	0.307583	-29.4528	-44.0172	-44.0172	0	5.55791e-05	22.1286
0.83	0.310714	-29.4528	-44.0172	-44.0172	0	5.57351e-05	22.1246
0.84	0.313822	-29.4528	-44.0171	-44.0172	0	5.58996e-05	22.1205
0.85	0.316909	-29.4528	-44.0171	-44.0172	0	5.60726e-05	22.1164
0.86	0.319974	-29.4528	-44.0171	-44.0171	0	5.62539e-05	22.1122
0.87	0.323016	-29.4528	-44.017	-44.0171	0	5.64434e-05	22.108
0.88	0.326035	-29.4528	-44.017	-44.0171	0	5.6641e-05	22.1037
0.89	0.329032	-29.4528	-44.017	-44.017	0	5.68467e-05	22.0994
0.9	0.332005	-29.4528	-44.0169	-44.017	0	5.70603e-05	22.095
0.91	0.334955	-29.4528	-44.0169	-44.017	0	5.72818e-05	22.0906
0.92	0.337882	-29.4528	-44.0169	-44.0169	0	5.75111e-05	22.0861
0.93	0.340785	-29.4528	-44.0168	-44.0169	0	5.77481e-05	22.0816
0.94	0.343664	-29.4528	-44.0168	-44.0169	0	5.79928e-05	22.0771
0.95	0.346519	-29.4528	-44.0168	-44.0168	0	5.82451e-05	22.0724
0.96	0.349349	-29.4528	-44.0167	-44.0168	0	5.8505e-05	22.0678
0.97	0.352155	-29.4528	-44.0167	-44.0167	0	5.87725e-05	22.0631
0.98	0.354936	-29.4528	-44.0167	-44.0167	0	5.90474e-05	22.0583
0.99	0.357693	-29.4528	-44.0166	-44.0167	0	5.93298e-05	22.0535
1	0.360424	-29.4528	-44.0166	-44.0166	0	5.96197e-05	22.0486
1.01	0.36313	-29.4528	-44.0165	-44.0166	0	5.99169e-05	22.0437
1.02	0.365811	-29.4528	-44.0165	-44.0166	0	6.02215e-05	22.0388
1.03	0.368465	-29.4528	-44.0165	-44.0165	0	6.05335e-05	22.0338
1.04	0.371094	-29.4528	-44.0164	-44.0165	0	6.08529e-05	22.0287
1.05	0.373697	-29.4528	-44.0164	-44.0164	0	6.11796e-05	22.0236
1.06	0.376274	-29.4528	-44.0163	-44.0164	0	6.15136e-05	22.0185
1.07	0.378824	-29.4528	-44.0163	-44.0163	0	6.18549e-05	22.0133
1.08	0.381348	-29.4528	-44.0162	-44.0163	0	6.22036e-05	22.008
1.09	0.383845	-29.4528	-44.0162	-44.0163	0	6.25596e-05	22.0027
1.1	0.386315	-29.4528	-44.0162	-44.0162	0	6.29229e-05	21.9974
1.11	0.388758	-29.4528	-44.0161	-44.0162	0	6.32936e-05	21.992
1.12	0.391173	-29.4528	-44.0161	-44.0161	0	6.36716e-05	21.9865
1.13	0.393561	-29.4528	-44.016	-44.0161	0	6.40569e-05	21.9811
1.14	0.395922	-29.4528	-44.016	-44.016	0	6.44497e-05	21.9755
1.15	0.398255	-29.4528	-44.0159	-44.016	0	6.48498e-05	21.9699
1.16	0.400559	-29.4528	-44.0159	-44.0159	0	6.52574e-05	21.9643
