0	0	-nan	-44.0186	-nan	0	22.2927
0.01	0.00483217	-44.0186	-44.0186	0	0	22.2927
0.02	0.00966335	-44.0186	-44.0186	0	0	22.2926
0.03	0.0144925	-44.0186	-44.0186	0	0	22.2925
0.04	0.0193187	-44.0186	-44.0186	0	0	22.2923
0.05	0.0241409	-44.0186	-44.0186	0	0	22.2921
0.06	0.0289581	-44.0186	-44.0186	0	0	22.2919
0.07	0.0337693	-44.0186	-44.0186	0	0	22.2915
0.08	0.0385735	-44.0186	-44.0186	0	0	22.2912
0.09	0.0433698	-44.0186	-44.0186	0	0	22.2908
0.1	0.0481571	-44.0186	-44.0186	0	0	22.2903
0.11	0.0529344	-44.0185	-44.0185	0	0	22.2898
0.12	0.0577008	-44.0185	-44.0185	0	0	22.2892
0.13	0.0624552	-44.0185	-44.0185	0	0	22.2886
0.14	0.0671968	-44.0185	-44.0185	0	0	22.288
0.15	0.0719244	-44.0185	-44.0185	0	0	22.2872
0.16	0.0766372	-44.0185	-44.0185	0	0	22.2865
0.17	0.0813342	-44.0185	-44.0185	0	0	22.2857
0.18	0.0860143	-44.0185	-44.0185	0	0	22.2848
0.19	0.0906766	-44.0185	-44.0185	0	0	22.2839
0.2	0.0953202	-44.0184	-44.0184	0	0	22.283
0.21	0.0999441	-44.0184	-44.0184	0	0	22.282
0.22	0.104547	-44.0184	-44.0184	0	0	22.2809
0.23	0.109129	-44.0184	-44.0184	0	0	22.2798
0.24	0.113688	-44.0184	-44.0184	0	0	22.2787
0.25	0.118224	-44.0184	-44.0184	0	0	22.2775
0.26	0.122735	-44.0184	-44.0184	0	0	22.2762
0.27	0.12722	-44.0184	-44.0184	0	0	22.2749
0.28	0.13168	-44.0183	-44.0183	0	0	22.2736
0.29	0.136112	-44.0183	-44.0183	0	0	22.2722
0.3	0.140516	-44.0183	-44.0183	0	0	22.2708
0.31	0.144891	-44.0183	-44.0183	0	0	22.2693
0.32	0.149236	-44.0183	-44.0183	0	0	22.2677
0.33	0.15355	-44.0183	-44.0183	0	0	22.2662
0.34	0.157833	-44.0183	-44.0183	0	0	22.2645
0.35	0.162083	-44.0182	-44.0182	0	0	22.2628
0.36	0.166299	-44.0182	-44.0182	0	0	22.2611
0.37	0.170481	-44.0182	-44.0182	0	0	22.2593
0.38	0.174628	-44.0182	-44.0182	0	0	22.2575
0.39	0.178738	-44.0182	-44.0182	0	0	22.2556
0.4	0.182812	-44.0182	-44.0182	0	0	22.2537
0.41	0.186848	-44.0182	-44.0182	0	0	22.2517
0.42	0.190845	-44.0181	-44.0181	0	0	22.2497
0.43	0.194803	-44.0181	-44.0181	0	0	22.2476
0.44	0.19872	-44.0181	-44.0181	0	0	22.2455
0.45	0.202597	-44.0181	-44.0181	0	0	22.2433
0.46	0.206431	-44.0181	-44.0181	0	0	22.2411
0.47	0.210223	-44.0181	-44.0181	0	0	22.2388
0.48	0.213972	-44.018	-44.018	0	0	22.2365
0.49	0.217676	-44.018	-44.018	0	0	22.2341
0.5	0.221335	-44.018	-44.018	0	0	22.2317
0.51	0.224948	-44.018	-44.018	0	0	22.2293
