0	0	-nan	-44.0186	-nan	inf	22.2927
0.01	0.00525098	-44.0173	-44.0186	0	0.00136054	22.2927
0.02	0.0105012	-44.0179	-44.0186	0	0.000690498	22.2926
0.03	0.01575	-44.0182	-44.0186	0	0.000467254	22.2925
0.04	0.0209966	-44.0183	-44.0186	0	0.00035571	22.2923
0.05	0.0262403	-44.0183	-44.0186	0	0.000288847	22.2921
0.06	0.0314803	-44.0183	-44.0186	0	0.000244325	22.2919
0.07	0.0367159	-44.0184	-44.0186	0	0.000212571	22.2915
0.08	0.0419464	-44.0184	-44.0186	0	0.000188796	22.2912
0.09	0.0471711	-44.0184	-44.0186	0	0.000170342	22.2908
0.1	0.0523892	-44.0184	-44.0186	0	0.000155613	22.2903
0.11	0.0576001	-44.0184	-44.0185	0	0.000143594	22.2898
0.12	0.0628029	-44.0184	-44.0185	0	0.000133607	22.2892
0.13	0.0679969	-44.0184	-44.0185	0	0.000125184	22.2886
0.14	0.0731815	-44.0184	-44.0185	0	0.00011799	22.288
0.15	0.078356	-44.0184	-44.0185	0	0.00011178	22.2872
0.16	0.0835195	-44.0184	-44.0185	0	0.00010637	22.2865
0.17	0.0886714	-44.0184	-44.0185	0	0.000101618	22.2857
0.18	0.0938109	-44.0184	-44.0185	0	9.74156e-05	22.2848
0.19	0.0989374	-44.0184	-44.0185	0	9.36762e-05	22.2839
0.2	0.10405	-44.0184	-44.0184	0	9.03306e-05	22.283
0.21	0.109148	-44.0183	-44.0184	0	8.73227e-05	22.282
0.22	0.114231	-44.0183	-44.0184	0	8.46069e-05	22.2809
0.23	0.119298	-44.0183	-44.0184	0	8.21452e-05	22.2798
0.24	0.124349	-44.0183	-44.0184	0	7.99062e-05	22.2787
0.25	0.129382	-44.0183	-44.0184	0	7.78634e-05	22.2775
0.26	0.134397	-44.0183	-44.0184	0	7.59945e-05	22.2762
0.27	0.139394	-44.0183	-44.0184	0	7.42802e-05	22.2749
0.28	0.144371	-44.0183	-44.0183	0	7.27044e-05	22.2736
0.29	0.149328	-44.0183	-44.0183	0	7.12529e-05	22.2722
0.3	0.154264	-44.0182	-44.0183	0	6.99135e-05	22.2708
0.31	0.159179	-44.0182	-44.0183	0	6.86756e-05	22.2693
0.32	0.164072	-44.0182	-44.0183	0	6.75298e-05	22.2677
0.33	0.168941	-44.0182	-44.0183	0	6.64681e-05	22.2662
0.34	0.173788	-44.0182	-44.0183	0	6.54833e-05	22.2645
0.35	0.17861	-44.0182	-44.0182	0	6.45688e-05	22.2628
0.36	0.183407	-44.0182	-44.0182	0	6.37192e-05	22.2611
0.37	0.188178	-44.0182	-44.0182	0	6.29293e-05	22.2593
0.38	0.192924	-44.0181	-44.0182	0	6.21946e-05	22.2575
0.39	0.197642	-44.0181	-44.0182	0	6.1511e-05	22.2556
0.4	0.202334	-44.0181	-44.0182	0	6.08751e-05	22.2537
0.41	0.206996	-44.0181	-44.0182	0	6.02833e-05	22.2517
0.42	0.211631	-44.0181	-44.0181	0	5.97329e-05	22.2497
0.43	0.216235	-44.0181	-44.0181	0	5.9221e-05	22.2476
0.44	0.22081	-44.018	-44.0181	0	5.87453e-05	22.2455
0.45	0.225354	-44.018	-44.0181	0	5.83036e-05	22.2433
0.46	0.229866	-44.018	-44.0181	0	5.78937e-05	22.2411
0.47	0.234347	-44.018	-44.0181	0	5.7514e-05	22.2388
0.48	0.238794	-44.018	-44.018	0	5.71625e-05	22.2365
0.49	0.243209	-44.018	-44.018	0	5.68379e-05	22.2341
0.5	0.24759	-44.0179	-44.018	0	5.65387e-05	22.2317
0.51	0.251936	-44.0179	-44.018	0	5.62636e-05	22.2293
0.52	0.256247	-44.0179	-44.018	0	5.60114e-05	22.2267
0.53	0.260523	-44.0179	-44.0179	0	5.57809e-05	22.2242
0.54	0.264762	-44.0179	-44.0179	0	5.55711e-05	22.2216
0.55	0.268964	-44.0178	-44.0179	0	5.53811e-05	22.2189
0.56	0.273129	-44.0178	-44.0179	0	5.521e-05	22.2162
0.57	0.277256	-44.0178	-44.0179	0	5.5057e-05	22.2134
0.58	0.281345	-44.0178	-44.0178	0	5.49213e-05	22.2106
0.59	0.285394	-44.0178	-44.0178	0	5.48023e-05	22.2078
0.6	0.289403	-44.0177	-44.0178	0	5.46992e-05	22.2049
0.61	0.293373	-44.0177	-44.0178	0	5.46115e-05	22.2019
0.62	0.297301	-44.0177	-44.0178	0	5.45386e-05	22.1989
0.63	0.301188	-44.0177	-44.0177	0	5.44799e-05	22.1959
0.64	0.305033	-44.0177	-44.0177	0	5.4435e-05	22.1928
0.65	0.308836	-44.0176	-44.0177	0	5.44035e-05	22.1896
0.66	0.312595	-44.0176	-44.0177	0	5.43848e-05	22.1864
0.67	0.316311	-44.0176	-44.0176	0	5.43786e-05	22.1832
0.68	0.319983	-44.0176	-44.0176	0	5.43846e-05	22.1799
0.69	0.323611	-44.0175	-44.0176	0	5.44023e-05	22.1765
0.7	0.327193	-44.0175	-44.0176	0	5.44314e-05	22.1731
0.71	0.33073	-44.0175	-44.0175	0	5.44717e-05	22.1697
0.72	0.334221	-44.0175	-44.0175	0	5.45228e-05	22.1662
0.73	0.337666	-44.0174	-44.0175	0	5.45845e-05	22.1627
0.74	0.341063	-44.0174	-44.0175	0	5.46565e-05	22.1591
0.75	0.344413	-44.0174	-44.0174	0	5.47386e-05	22.1554
0.76	0.347715	-44.0174	-44.0174	0	5.48306e-05	22.1518
0.77	0.350969	-44.0173	-44.0174	0	5.49323e-05	22.148
0.78	0.354173	-44.0173	-44.0174	0	5.50434e-05	22.1442
0.79	0.357329	-44.0173	-44.0173	0	5.51638e-05	22.1404
0.8	0.360434	-44.0172	-44.0173	0	5.52933e-05	22.1365
0.81	0.36349	-44.0172	-44.0173	0	5.54318e-05	22.1326
0.82	0.366495	-44.0172	-44.0172	0	5.55791e-05	22.1286
0.83	0.369449	-44.0172	-44.0172	0	5.57351e-05	22.1246
0.84	0.372351	-44.0171	-44.0172	0	5.58996e-05	22.1205
0.85	0.375202	-44.0171	-44.0172	0	5.60726e-05	22.1164
0.86	0.378	-44.0171	-44.0171	0	5.62539e-05	22.1122
0.87	0.380746	-44.017	-44.0171	0	5.64434e-05	22.108
0.88	0.383439	-44.017	-44.0171	0	5.6641e-05	22.1037
0.89	0.386079	-44.017	-44.017	0	5.68467e-05	22.0994
0.9	0.388664	-44.0169	-44.017	0	5.70603e-05	22.095
0.91	0.391196	-44.0169	-44.017	0	5.72818e-05	22.0906
0.92	0.393673	-44.0169	-44.0169	0	5.75111e-05	22.0861
0.93	0.396095	-44.0168	-44.0169	0	5.77481e-05	22.0816
0.94	0.398463	-44.0168	-44.0169	0	5.79928e-05	22.0771
