0	0	-nan	-44.0186	-nan	0	22.2927
0.01	0.00406774	-44.0186	-44.0186	0	0	22.2927
0.02	0.00813519	-44.0186	-44.0186	0	0	22.2926
0.03	0.0122021	-44.0186	-44.0186	0	0	22.2925
0.04	0.0162681	-44.0186	-44.0186	0	0	22.2923
0.05	0.020333	-44.0186	-44.0186	0	0	22.2921
0.06	0.0243964	-44.0186	-44.0186	0	0	22.2919
0.07	0.0284582	-44.0186	-44.0186	0	0	22.2915
0.08	0.0325179	-44.0186	-44.0186	0	0	22.2912
0.09	0.0365754	-44.0186	-44.0186	0	0	22.2908
0.1	0.0406303	-44.0186	-44.0186	0	0	22.2903
0.11	0.0446823	-44.0185	-44.0185	0	0	22.2898
0.12	0.0487312	-44.0185	-44.0185	0	0	22.2892
0.13	0.0527767	-44.0185	-44.0185	0	0	22.2886
0.14	0.0568185	-44.0185	-44.0185	0	0	22.288
0.15	0.0608563	-44.0185	-44.0185	0	0	22.2872
0.16	0.0648898	-44.0185	-44.0185	0	0	22.2865
0.17	0.0689187	-44.0185	-44.0185	0	0	22.2857
0.18	0.0729429	-44.0185	-44.0185	0	0	22.2848
0.19	0.0769619	-44.0185	-44.0185	0	0	22.2839
0.2	0.0809754	-44.0184	-44.0184	0	0	22.283
0.21	0.0849834	-44.0184	-44.0184	0	0	22.282
0.22	0.0889853	-44.0184	-44.0184	0	0	22.2809
0.23	0.092981	-44.0184	-44.0184	0	0	22.2798
0.24	0.0969702	-44.0184	-44.0184	0	0	22.2787
0.25	0.100953	-44.0184	-44.0184	0	0	22.2775
0.26	0.104928	-44.0184	-44.0184	0	0	22.2762
0.27	0.108896	-44.0184	-44.0184	0	0	22.2749
0.28	0.112856	-44.0183	-44.0183	0	0	22.2736
0.29	0.116808	-44.0183	-44.0183	0	0	22.2722
0.3	0.120752	-44.0183	-44.0183	0	0	22.2708
0.31	0.124688	-44.0183	-44.0183	0	0	22.2693
0.32	0.128615	-44.0183	-44.0183	0	0	22.2677
0.33	0.132533	-44.0183	-44.0183	0	0	22.2662
0.34	0.136441	-44.0183	-44.0183	0	0	22.2645
0.35	0.14034	-44.0182	-44.0182	0	0	22.2628
0.36	0.144229	-44.0182	-44.0182	0	0	22.2611
0.37	0.148108	-44.0182	-44.0182	0	0	22.2593
