0	0	-nan	-44.0186	-nan	inf	22.2927
0.01	0.0013833	-21.7246	-44.0186	0	0.00136054	22.2927
0.02	0.0027666	-21.7253	-44.0186	0	0.000690498	22.2926
0.03	0.0041499	-21.7256	-44.0186	0	0.000467254	22.2925
0.04	0.00553321	-21.7259	-44.0186	0	0.00035571	22.2923
0.05	0.00691653	-21.7262	-44.0186	0	0.000288847	22.2921
0.06	0.00829986	-21.7265	-44.0186	0	0.000244325	22.2919
0.07	0.00968321	-21.7268	-44.0186	0	0.000212571	22.2915
0.08	0.0110666	-21.7272	-44.0186	0	0.000188796	22.2912
0.09	0.0124499	-21.7276	-44.0186	0	0.000170342	22.2908
0.1	0.0138333	-21.7281	-44.0186	0	0.000155613	22.2903
0.11	0.0152168	-21.7286	-44.0185	0	0.000143594	22.2898
0.12	0.0166002	-21.7292	-44.0185	0	0.000133607	22.2892
0.13	0.0179837	-21.7298	-44.0185	0	0.000125184	22.2886
0.14	0.0193672	-21.7304	-44.0185	0	0.00011799	22.288
0.15	0.0207507	-21.7311	-44.0185	0	0.00011178	22.2872
0.16	0.0221343	-21.7319	-44.0185	0	0.00010637	22.2865
0.17	0.0235179	-21.7327	-44.0185	0	0.000101618	22.2857
0.18	0.0249015	-21.7335	-44.0185	0	9.74156e-05	22.2848
0.19	0.0262852	-21.7344	-44.0185	0	9.36762e-05	22.2839
0.2	0.0276689	-21.7354	-44.0184	0	9.03306e-05	22.283
0.21	0.0290526	-21.7364	-44.0184	0	8.73227e-05	22.282
0.22	0.0304364	-21.7374	-44.0184	0	8.46069e-05	22.2809
0.23	0.0318203	-21.7385	-44.0184	0	8.21452e-05	22.2798
0.24	0.0332042	-21.7396	-44.0184	0	7.99062e-05	22.2787
0.25	0.0345881	-21.7408	-44.0184	0	7.78634e-05	22.2775
0.26	0.0359721	-21.7421	-44.0184	0	7.59945e-05	22.2762
0.27	0.0373562	-21.7433	-44.0184	0	7.42802e-05	22.2749
0.28	0.0387403	-21.7447	-44.0183	0	7.27044e-05	22.2736
0.29	0.0401245	-21.746	-44.0183	0	7.12529e-05	22.2722
0.3	0.0415087	-21.7475	-44.0183	0	6.99135e-05	22.2708
0.31	0.042893	-21.749	-44.0183	0	6.86756e-05	22.2693
0.32	0.0442774	-21.7505	-44.0183	0	6.75298e-05	22.2677
0.33	0.0456618	-21.7521	-44.0183	0	6.64681e-05	22.2662
0.34	0.0470463	-21.7537	-44.0183	0	6.54833e-05	22.2645
0.35	0.0484308	-21.7553	-44.0182	0	6.45688e-05	22.2628
0.36	0.0498155	-21.7571	-44.0182	0	6.37192e-05	22.2611
0.37	0.0512002	-21.7588	-44.0182	0	6.29293e-05	22.2593
0.38	0.052585	-21.7606	-44.0182	0	6.21946e-05	22.2575
0.39	0.0539698	-21.7625	-44.0182	0	6.1511e-05	22.2556
0.4	0.0553547	-21.7644	-44.0182	0	6.08751e-05	22.2537
0.41	0.0567398	-21.7664	-44.0182	0	6.02833e-05	22.2517
0.42	0.0581248	-21.7684	-44.0181	0	5.97329e-05	22.2497
0.43	0.05951	-21.7705	-44.0181	0	5.9221e-05	22.2476
0.44	0.0608953	-21.7726	-44.0181	0	5.87453e-05	22.2455
0.45	0.0622806	-21.7747	-44.0181	0	5.83036e-05	22.2433
0.46	0.063666	-21.7769	-44.0181	0	5.78937e-05	22.2411
0.47	0.0650515	-21.7792	-44.0181	0	5.7514e-05	22.2388
0.48	0.0664371	-21.7815	-44.018	0	5.71625e-05	22.2365
0.49	0.0678228	-21.7838	-44.018	0	5.68379e-05	22.2341
0.5	0.0692086	-21.7862	-44.018	0	5.65387e-05	22.2317
0.51	0.0705945	-21.7887	-44.018	0	5.62636e-05	22.2293
0.52	0.0719804	-21.7912	-44.018	0	5.60114e-05	22.2267
0.53	0.0733665	-21.7937	-44.0179	0	5.57809e-05	22.2242
0.54	0.0747526	-21.7963	-44.0179	0	5.55711e-05	22.2216
0.55	0.0761389	-21.7989	-44.0179	0	5.53811e-05	22.2189
0.56	0.0775252	-21.8016	-44.0179	0	5.521e-05	22.2162
0.57	0.0789116	-21.8044	-44.0179	0	5.5057e-05	22.2134
0.58	0.0802981	-21.8072	-44.0178	0	5.49213e-05	22.2106
0.59	0.0816848	-21.81	-44.0178	0	5.48023e-05	22.2078
0.6	0.0830715	-21.8129	-44.0178	0	5.46992e-05	22.2049
0.61	0.0844583	-21.8158	-44.0178	0	5.46115e-05	22.2019
0.62	0.0858452	-21.8188	-44.0178	0	5.45386e-05	22.1989
0.63	0.0872322	-21.8218	-44.0177	0	5.44799e-05	22.1959
0.64	0.0886194	-21.8249	-44.0177	0	5.4435e-05	22.1928
0.65	0.0900066	-21.828	-44.0177	0	5.44035e-05	22.1896
0.66	0.0913939	-21.8312	-44.0177	0	5.43848e-05	22.1864
0.67	0.0927813	-21.8344	-44.0176	0	5.43786e-05	22.1832
0.68	0.0941688	-21.8377	-44.0176	0	5.43846e-05	22.1799
0.69	0.0955565	-21.841	-44.0176	0	5.44023e-05	22.1765
0.7	0.0969442	-21.8444	-44.0176	0	5.44314e-05	22.1731
0.71	0.098332	-21.8478	-44.0175	0	5.44717e-05	22.1697
0.72	0.0997199	-21.8513	-44.0175	0	5.45228e-05	22.1662
0.73	0.101108	-21.8548	-44.0175	0	5.45845e-05	22.1627
0.74	0.102496	-21.8583	-44.0175	0	5.46565e-05	22.1591
0.75	0.103884	-21.862	-44.0174	0	5.47386e-05	22.1554
0.76	0.105273	-21.8656	-44.0174	0	5.48306e-05	22.1518
0.77	0.106661	-21.8693	-44.0174	0	5.49323e-05	22.148
0.78	0.10805	-21.8731	-44.0174	0	5.50434e-05	22.1442
0.79	0.109438	-21.8769	-44.0173	0	5.51638e-05	22.1404
0.8	0.110827	-21.8807	-44.0173	0	5.52933e-05	22.1365
0.81	0.112216	-21.8846	-44.0173	0	5.54318e-05	22.1326
0.82	0.113605	-21.8886	-44.0172	0	5.55791e-05	22.1286
0.83	0.114994	-21.8926	-44.0172	0	5.57351e-05	22.1246
0.84	0.116383	-21.8966	-44.0172	0	5.58996e-05	22.1205
0.85	0.117772	-21.9007	-44.0172	0	5.60726e-05	22.1164
0.86	0.119161	-21.9049	-44.0171	0	5.62539e-05	22.1122
0.87	0.12055	-21.9091	-44.0171	0	5.64434e-05	22.108
0.88	0.12194	-21.9133	-44.0171	0	5.6641e-05	22.1037
0.89	0.123329	-21.9176	-44.017	0	5.68467e-05	22.0994
0.9	0.124719	-21.9219	-44.017	0	5.70603e-05	22.095
0.91	0.126109	-21.9263	-44.017	0	5.72818e-05	22.0906
0.92	0.127498	-21.9307	-44.0169	0	5.75111e-05	22.0861
0.93	0.128888	-21.9352	-44.0169	0	5.77481e-05	22.0816
0.94	0.130278	-21.9397	-44.0169	0	5.79928e-05	22.0771
0.95	0.131668	-21.9443	-44.0168	0	5.82451e-05	22.0724
0.96	0.133058	-21.9489	-44.0168	0	5.8505e-05	22.0678
0.97	0.134448	-21.9536	-44.0167	0	5.87725e-05	22.0631
0.98	0.135839	-21.9583	-44.0167	0	5.90474e-05	22.0583
0.99	0.137229	-21.9631	-44.0167	0	5.93298e-05	22.0535
1	0.138619	-21.9679	-44.0166	0	5.96197e-05	22.0486
1.01	0.14001	-21.9728	-44.0166	0	5.99169e-05	22.0437
1.02	0.1414	-21.9777	-44.0166	0	6.02215e-05	22.0388
1.03	0.14279	-21.9827	-44.0165	0	6.05335e-05	22.0338
1.04	0.144181	-21.9877	-44.0165	0	6.08529e-05	22.0287
1.05	0.145572	-21.9927	-44.0164	0	6.11796e-05	22.0236
1.06	0.146962	-21.9979	-44.0164	0	6.15136e-05	22.0185
1.07	0.148353	-22.003	-44.0163	0	6.18549e-05	22.0133
1.08	0.149744	-22.0082	-44.0163	0	6.22036e-05	22.008
1.09	0.151135	-22.0135	-44.0163	0	6.25596e-05	22.0027
1.1	0.152525	-22.0188	-44.0162	0	6.29229e-05	21.9974
1.11	0.153916	-22.0241	-44.0162	0	6.32936e-05	21.992
1.12	0.155307	-22.0295	-44.0161	0	6.36716e-05	21.9865
1.13	0.156698	-22.035	-44.0161	0	6.40569e-05	21.9811
1.14	0.158089	-22.0405	-44.016	0	6.44497e-05	21.9755
1.15	0.15948	-22.046	-44.016	0	6.48498e-05	21.9699
1.16	0.160871	-22.0516	-44.0159	0	6.52574e-05	21.9643
1.17	0.162262	-22.0572	-44.0159	0	6.56724e-05	21.9586
1.18	0.163653	-22.0629	-44.0158	0	6.60949e-05	21.9529
1.19	0.165043	-22.0686	-44.0158	0	6.65249e-05	21.9471
1.2	0.166434	-22.0744	-44.0157	0	6.69623e-05	21.9412
1.21	0.167825	-22.0803	-44.0157	0	6.74074e-05	21.9354
1.22	0.169216	-22.0861	-44.0156	0	6.786e-05	21.9294
1.23	0.170607	-22.0921	-44.0156	0	6.83203e-05	21.9234
1.24	0.171998	-22.098	-44.0155	0	6.87882e-05	21.9174
1.25	0.173389	-22.1041	-44.0155	0	6.92638e-05	21.9113
1.26	0.17478	-22.1101	-44.0154	0	6.97472e-05	21.9052
1.27	0.17617	-22.1162	-44.0153	0	7.02384e-05	21.899
1.28	0.177561	-22.1224	-44.0153	0	7.07374e-05	21.8928
1.29	0.178952	-22.1286	-44.0152	0	7.12443e-05	21.8865
1.3	0.180342	-22.1349	-44.0152	0	7.17592e-05	21.8802
1.31	0.181733	-22.1412	-44.0151	0	7.2282e-05	21.8738
1.32	0.183123	-22.1475	-44.015	0	7.28129e-05	21.8674
1.33	0.184513	-22.1539	-44.015	0	7.33519e-05	21.861
1.34	0.185904	-22.1604	-44.0149	0	7.38991e-05	21.8544
1.35	0.187294	-22.1669	-44.0149	0	7.44545e-05	21.8479
1.36	0.188684	-22.1735	-44.0148	0	7.50182e-05	21.8413
1.37	0.190074	-22.18	-44.0147	0	7.55902e-05	21.8346
1.38	0.191464	-22.1867	-44.0147	0	7.61706e-05	21.8279
1.39	0.192853	-22.1934	-44.0146	0	7.67596e-05	21.8211
1.4	0.194243	-22.2001	-44.0145	0	7.73571e-05	21.8143
1.41	0.195633	-22.2069	-44.0144	0	7.79632e-05	21.8075
1.42	0.197022	-22.2137	-44.0144	0	7.8578e-05	21.8005
1.43	0.198411	-22.2206	-44.0143	0	7.92016e-05	21.7936
1.44	0.1998	-22.2276	-44.0142	0	7.9834e-05	21.7866
1.45	0.201189	-22.2345	-44.0141	0	8.04753e-05	21.7795
1.46	0.202578	-22.2416	-44.0141	0	8.11257e-05	21.7724
1.47	0.203966	-22.2486	-44.014	0	8.17852e-05	21.7653
1.48	0.205355	-22.2558	-44.0139	0	8.24538e-05	21.7581
1.49	0.206743	-22.2629	-44.0138	0	8.31317e-05	21.7508
1.5	0.208131	-22.2701	-44.0138	0	8.38189e-05	21.7435
1.51	0.209518	-22.2774	-44.0137	0	8.45155e-05	21.7362
1.52	0.210906	-22.2847	-44.0136	0	8.52217e-05	21.7288
1.53	0.212293	-22.2921	-44.0135	0	8.59375e-05	21.7213
1.54	0.21368	-22.2995	-44.0134	0	8.6663e-05	21.7138
1.55	0.215067	-22.3069	-44.0133	0	8.73983e-05	21.7063
1.56	0.216454	-22.3144	-44.0132	0	8.81435e-05	21.6987
1.57	0.21784	-22.322	-44.0132	0	8.88987e-05	21.6911
1.58	0.219226	-22.3296	-44.0131	0	8.96641e-05	21.6834
1.59	0.220612	-22.3372	-44.013	0	9.04396e-05	21.6756
1.6	0.221997	-22.3449	-44.0129	0	9.12254e-05	21.6679
1.61	0.223382	-22.3527	-44.0128	0	9.20217e-05	21.66
1.62	0.224767	-22.3605	-44.0127	0	9.28284e-05	21.6521
1.63	0.226151	-22.3683	-44.0126	0	9.36458e-05	21.6442
1.64	0.227535	-22.3762	-44.0125	0	9.4474e-05	21.6362
1.65	0.228919	-22.3841	-44.0124	0	9.5313e-05	21.6282
1.66	0.230303	-22.3921	-44.0123	0	9.6163e-05	21.6201
1.67	0.231686	-22.4001	-44.0122	0	9.70241e-05	21.612
1.68	0.233068	-22.4082	-44.0121	0	9.78964e-05	21.6038
1.69	0.234451	-22.4163	-44.012	0	9.878e-05	21.5956
1.7	0.235833	-22.4244	-44.0119	0	9.96751e-05	21.5873
1.71	0.237214	-22.4327	-44.0117	0	0.000100582	21.579
1.72	0.238595	-22.4409	-44.0116	0	0.0001015	21.5706
1.73	0.239976	-22.4492	-44.0115	0	0.00010243	21.5622
1.74	0.241356	-22.4576	-44.0114	0	0.000103373	21.5537
1.75	0.242735	-22.466	-44.0113	0	0.000104327	21.5452
1.76	0.244115	-22.4744	-44.0112	0	0.000105293	21.5366
1.77	0.245493	-22.4829	-44.011	0	0.000106272	21.528
1.78	0.246871	-22.4915	-44.0109	0	0.000107264	21.5193
1.79	0.248249	-22.5	-44.0108	0	0.000108268	21.5106
1.8	0.249626	-22.5087	-44.0107	0	0.000109285	21.5019
1.81	0.251003	-22.5174	-44.0105	0	0.000110315	21.4931
1.82	0.252379	-22.5261	-44.0104	0	0.000111358	21.4842
1.83	0.253755	-22.5349	-44.0103	0	0.000112414	21.4753
1.84	0.255129	-22.5437	-44.0101	0	0.000113483	21.4663
1.85	0.256504	-22.5526	-44.01	0	0.000114566	21.4573
1.86	0.257877	-22.5615	-44.0099	0	0.000115663	21.4483
1.87	0.259251	-22.5704	-44.0097	0	0.000116774	21.4392
1.88	0.260623	-22.5795	-44.0096	0	0.000117899	21.43
1.89	0.261995	-22.5885	-44.0094	0	0.000119038	21.4208
1.9	0.263366	-22.5976	-44.0093	0	0.000120191	21.4116
1.91	0.264736	-22.6068	-44.0091	0	0.000121359	21.4023
1.92	0.266106	-22.616	-44.009	0	0.000122541	21.3929
1.93	0.267475	-22.6252	-44.0088	0	0.000123739	21.3835
1.94	0.268843	-22.6345	-44.0087	0	0.000124951	21.3741
1.95	0.270211	-22.6438	-44.0085	0	0.000126179	21.3646
1.96	0.271578	-22.6532	-44.0084	0	0.000127422	21.355
1.97	0.272944	-22.6626	-44.0082	0	0.00012868	21.3454
1.98	0.274309	-22.6721	-44.008	0	0.000129954	21.3358
1.99	0.275673	-22.6816	-44.0079	0	0.000131245	21.3261
2	0.277037	-22.6912	-44.0077	0	0.000132551	21.3164
2.01	0.2784	-22.7008	-44.0075	0	0.000133874	21.3066
2.02	0.279761	-22.7105	-44.0073	0	0.000135213	21.2967
2.03	0.281122	-22.7202	-44.0072	0	0.000136569	21.2868
2.04	0.282483	-22.7299	-44.007	0	0.000137942	21.2769
2.05	0.283842	-22.7397	-44.0068	0	0.000139332	21.2669
2.06	0.2852	-22.7496	-44.0066	0	0.00014074	21.2569
2.07	0.286557	-22.7595	-44.0064	0	0.000142165	21.2468
2.08	0.287914	-22.7694	-44.0062	0	0.000143608	21.2367
2.09	0.289269	-22.7794	-44.006	0	0.000145068	21.2265
2.1	0.290623	-22.7894	-44.0058	0	0.000146547	21.2163
