orbit 1 	 2 		 3 		 4 		 TBME 
-1 		 0 		 0 		 0 		 -0.000000 
-1 		 0 		 0 		 1 		 0.000000 
-1 		 0 		 1 		 2 		 -0.000000 
-1 		 0 		 1 		 3 		 -0.000000 
-1 		 1 		 2 		 4 		 0.000000 
-1 		 1 		 2 		 5 		 -0.465009 
-1 		 1 		 3 		 6 		 0.465009 
-1 		 1 		 3 		 7 		 -0.000000 
-1 		 2 		 4 		 9 		 0.000000 
-1 		 2 		 4 		 10 		 -0.000000 
-1 		 2 		 5 		 11 		 0.000000 
-1 		 2 		 5 		 12 		 0.000000 
-1 		 3 		 6 		 13 		 0.421229 
-1 		 3 		 6 		 14 		 -0.270631 
-1 		 3 		 7 		 15 		 0.548562 
-1 		 3 		 7 		 16 		 0.053535 
-1 		 4 		 8 		 18 		 -0.000000 
-1 		 4 		 8 		 19 		 0.000000 
-1 		 4 		 9 		 20 		 -0.000000 
-1 		 4 		 9 		 21 		 -0.000000 
-1 		 5 		 10 		 22 		 0.632319 
-1 		 5 		 10 		 23 		 -0.010983 
-1 		 5 		 11 		 24 		 0.582894 
-1 		 5 		 11 		 25 		 0.109266 
-1 		 6 		 12 		 27 		 -0.000000 
-1 		 6 		 12 		 28 		 0.000000 
-1 		 6 		 13 		 29 		 0.000000 
-1 		 6 		 13 		 30 		 0.000000 
-1 		 7 		 14 		 31 		 0.701199 
-1 		 7 		 14 		 32 		 0.223415 
-1 		 7 		 15 		 33 		 0.584057 
-1 		 7 		 15 		 34 		 0.157612 
-1 		 8 		 16 		 36 		 0.000000 
-1 		 8 		 16 		 37 		 -0.000000 
-1 		 8 		 17 		 38 		 0.000000 
-1 		 8 		 17 		 39 		 0.000000 
-1 		 9 		 18 		 40 		 0.678864 
-1 		 9 		 18 		 41 		 0.402237 
-1 		 9 		 19 		 42 		 0.564009 
-1 		 9 		 19 		 43 		 0.195530 
-1 		 10 		 20 		 45 		 0.000000 
-1 		 10 		 20 		 46 		 0.000000 
-1 		 10 		 21 		 47 		 0.000000 
-1 		 10 		 21 		 48 		 -0.000000 
-1 		 11 		 22 		 49 		 0.603353 
-1 		 11 		 22 		 50 		 0.518979 
-1 		 11 		 23 		 51 		 0.531684 
-1 		 11 		 23 		 52 		 0.222753 
-1 		 12 		 25 		 54 		 -0.000000 
-1 		 12 		 25 		 55 		 -0.000000 
-1 		 12 		 26 		 56 		 0.000000 
